Type,Number,Transaction Date,Last Payment Date,Amt. Paid (USD)
Invoice,18656,04/25/2025,05/05/2025,5325.00
Invoice,18601,04/25/2025,05/06/2025,5905.00
Invoice,18599,04/25/2025,,0.00
Invoice,18669,04/25/2025,06/17/2025,3565.00
Invoice,18597,04/25/2025,,0.00
Invoice,18595,04/25/2025,,0.00
Invoice,18661,04/25/2025,,0.00
Invoice,18763,04/25/2025,06/17/2025,525.00
Invoice,18762,04/25/2025,06/17/2025,5928.49
Invoice,18622,04/24/2025,05/19/2025,2125.00
Invoice,18608,04/24/2025,,0.00
Invoice,18475,04/24/2025,04/28/2025,2763.00
Invoice,18594,04/24/2025,05/02/2025,1800.00
Invoice,18593,04/24/2025,,0.00
Invoice,18657,04/23/2025,05/12/2025,820.00
Invoice,18690,04/23/2025,05/22/2025,1059.65
Invoice,18587,04/23/2025,05/30/2025,487.72
Invoice,18576,04/23/2025,04/24/2025,686.13
Invoice,18761,04/23/2025,06/17/2025,525.00
Invoice,18760,04/23/2025,06/17/2025,5859.01
Invoice,18552,04/21/2025,06/09/2025,994.89
Invoice,18591,04/21/2025,05/08/2025,7635.00
Invoice,18590,04/21/2025,,0.00
Invoice,18598,04/21/2025,05/27/2025,6017.08
Invoice,18565,04/19/2025,04/24/2025,5360.00
Invoice,18567,04/19/2025,04/24/2025,5425.00
Invoice,18568,04/19/2025,04/24/2025,5360.00
Invoice,18570,04/19/2025,04/24/2025,5360.00
Invoice,18574,04/19/2025,04/24/2025,5560.00
Invoice,18578,04/19/2025,04/24/2025,5360.00
Invoice,18582,04/19/2025,04/24/2025,5425.00
Invoice,18583,04/19/2025,04/24/2025,5360.00
Invoice,18759,04/19/2025,06/17/2025,525.00
Invoice,18758,04/19/2025,06/17/2025,6295.74
Invoice,18592,04/18/2025,,0.00
Invoice,18501,04/18/2025,05/01/2025,11049.79
Invoice,18562,04/18/2025,04/24/2025,5360.00
Invoice,18563,04/18/2025,04/24/2025,5705.00
Invoice,18564,04/18/2025,04/24/2025,5360.00
Invoice,18566,04/18/2025,04/24/2025,5360.00
Invoice,18580,04/18/2025,04/24/2025,5360.00
Invoice,18584,04/18/2025,04/24/2025,5360.00
Invoice,18589,04/18/2025,06/17/2025,3595.00
Invoice,18670,04/18/2025,06/17/2025,521.60
Invoice,18660,04/17/2025,05/01/2025,7125.00
Invoice,18547,04/17/2025,05/14/2025,970.20
Invoice,18521,04/17/2025,,0.00
Invoice,18520,04/17/2025,,0.00
Invoice,18519,04/17/2025,05/01/2025,4580.00
Invoice,18513,04/17/2025,04/30/2025,1504.10
Invoice,18503,04/16/2025,04/21/2025,6326.00
